#ColName,ACTION_DB,TEXT POSITION,TYPES,DefaultValue,EXTERNAL,KEY_UPDATE_OR_DELETE,Role in Action Column,Require Field,ValidFunc
MODIFIER_LINE_ID,I,0,INTEGER,,N,Y,AD|DD|TT|VAN,Y,N
MODIFIER_ID,UI,1,INTEGER,,N,N,AD|DD|TT|VAN,Y,VALIDATE_MODIFIER_ID
TYPE,UI,2,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
END_DATE,UI,3,DATE,,N,N,AD|DD|TT|VAN,N,N
START_DATE,UI,4,DATE,,N,N,AD|DD|TT|VAN,N,N
LEVEL,UI,5,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
PRECEDENCE,UI,6,INTEGER,,N,N,AD|DD|TT|VAN,N,N
VOLUME_TYPE,UI,7,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
BREAK_TYPE,UI,8,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
APPLICATION_METHOD,UI,9,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
VALUE,UI,10,DECIMAL,,N,N,AD|DD|TT|VAN,N,N
PRICELIST_ID,UI,11,INTEGER,,N,N,AD|DD|TT|VAN,N,VALIDATE_PRICELIST_ID
BENEFIT_QTY,UI,12,DECIMAL,,N,N,AD|DD|TT|VAN,N,N
ISAUTOMATIC,UI,13,CHAR,,N,N,AD|DD|TT|VAN,N,N
ISACTIVE,UI,14,CHAR,Y,N,N,AD|DD|TT|VAN,N,N
BENEFIT_UOM_ID,UI,15,VARCHAR,,N,N,AD|DD|TT|VAN,N,VALIDATE_UOM_ID
DESCRIPTION,UI,16,VARCHAR,,N,N,AD|DD|TT|VAN,N,N
