101,เกาะลันตา,101,กระบี่
102,เขาพนม,101,กระบี่
103,คลองท่อม,101,กระบี่
104,ปลายพระยา,101,กระบี่
105,เมืองกระบี่,101,กระบี่
106,ลำทับ,101,กระบี่
107,เหนือคลอง,101,กระบี่
108,อ่าวลึก,101,กระบี่
109,บ้านทะวาย,102,กรุงเทพมหานคร
110,เขตคลองเตย,102,กรุงเทพมหานคร
111,เขตคลองสาน,102,กรุงเทพมหานคร
112,เขตคลองสามวา,102,กรุงเทพมหานคร
113,เขตคันนายาว,102,กรุงเทพมหานคร
114,เขตจตุจักร,102,กรุงเทพมหานคร
115,เขตจอมทอง,102,กรุงเทพมหานคร
116,เขตดอนเมือง,102,กรุงเทพมหานคร
117,เขตดินแดง,102,กรุงเทพมหานคร
118,เขตดุสิต,102,กรุงเทพมหานคร
119,เขตตลิ่งชัน,102,กรุงเทพมหานคร
120,เขตทวีวัฒนา,102,กรุงเทพมหานคร
121,เขตทุ่งครุ,102,กรุงเทพมหานคร
122,เขตธนบุรี,102,กรุงเทพมหานคร
123,เขตบางกอกน้อย,102,กรุงเทพมหานคร
124,เขตบางกอกใหญ่,102,กรุงเทพมหานคร
125,เขตบางกะปิ,102,กรุงเทพมหานคร
126,เขตบางขุนเทียน,102,กรุงเทพมหานคร
127,เขตบางเขน,102,กรุงเทพมหานคร
128,เขตบางคอแหลม,102,กรุงเทพมหานคร
129,เขตบางแค,102,กรุงเทพมหานคร
130,เขตบางซื่อ,102,กรุงเทพมหานคร
131,เขตบางนา,102,กรุงเทพมหานคร
132,เขตบางบอน,102,กรุงเทพมหานคร
133,เขตบางพลัด,102,กรุงเทพมหานคร
134,เขตบางรัก,102,กรุงเทพมหานคร
135,เขตบึงกุ่ม,102,กรุงเทพมหานคร
136,เขตปทุมวัน,102,กรุงเทพมหานคร
137,เขตประเวศ,102,กรุงเทพมหานคร
138,เขตป้อมปราบศัตรูพ่าย,102,กรุงเทพมหานคร
139,เขตพญาไท,102,กรุงเทพมหานคร
140,เขตพระโขนง,102,กรุงเทพมหานคร
141,เขตพระนคร,102,กรุงเทพมหานคร
142,เขตภาษีเจริญ,102,กรุงเทพมหานคร
143,เขตมีนบุรี,102,กรุงเทพมหานคร
144,เขตยานนาวา,102,กรุงเทพมหานคร
145,เขตราชเทวี,102,กรุงเทพมหานคร
146,เขตราษฎร์บูรณะ,102,กรุงเทพมหานคร
147,เขตลาดกระบัง,102,กรุงเทพมหานคร
148,เขตลาดพร้าว,102,กรุงเทพมหานคร
149,เขตวังทองหลาง,102,กรุงเทพมหานคร
150,เขตวัฒนา,102,กรุงเทพมหานคร
151,เขตสวนหลวง,102,กรุงเทพมหานคร
152,เขตสะพานสูง,102,กรุงเทพมหานคร
153,เขตสัมพันธวงศ์,102,กรุงเทพมหานคร
154,เขตสาทร,102,กรุงเทพมหานคร
155,เขตสายไหม,102,กรุงเทพมหานคร
156,เขตหนองแขม,102,กรุงเทพมหานคร
